DIEAREA ( 0 0 ) ( 1e+06 1e+06 )
name                                                                                     X              Y     LABEL
u0/w_reg[3][28]                                                                         18             13        89
u0/w_reg[3][29]                                                                          9             10        78
u0/w_reg[3][30]                                                                         14             22        95
u0/w_reg[3][31]                                                                         10             10        71
dcnt_reg[0]                                                                              9             10        78
dcnt_reg[1]                                                                              9             10        78
dcnt_reg[2]                                                                              8             12        60
dcnt_reg[3]                                                                              9             10        78
sa00_reg[0]                                                                             32             34        85
sa00_reg[1]                                                                             31             33        52
sa00_reg[2]                                                                             34             33        85
sa00_reg[3]                                                                             34             34        57
sa00_reg[4]                                                                             36             33        45
sa00_reg[5]                                                                             34             33        47
sa00_reg[6]                                                                             31             33        40
sa00_reg[7]                                                                             36             33        45
sa01_reg[0]                                                                              8             31        46
sa01_reg[1]                                                                             12             30        65
sa01_reg[2]                                                                              8             35       116
sa01_reg[3]                                                                             11             30        65
sa01_reg[4]                                                                             12             30        65
sa01_reg[5]                                                                              8             31        46
sa01_reg[6]                                                                              8             30        75
sa01_reg[7]                                                                              8             35       116
sa02_reg[0]                                                                              9             12        60
sa02_reg[1]                                                                             11             12       123
sa02_reg[2]                                                                             11             14       132
sa02_reg[3]                                                                              9             12        60
sa02_reg[4]                                                                              8             18        63
sa02_reg[5]                                                                              8             19       124
sa02_reg[6]                                                                              7             21        55
sa02_reg[7]                                                                             12             16       126
sa03_reg[0]                                                                             26             11        87
sa03_reg[1]                                                                             26             11       103
sa03_reg[2]                                                                             26             11        67
sa03_reg[3]                                                                             26             10        30
sa03_reg[4]                                                                             23             12         7
sa03_reg[5]                                                                             22             10         6
sa03_reg[6]                                                                             21              9         2
sa03_reg[7]                                                                             21              9        59
sa10_reg[1]                                                                             32             25       130
sa10_reg[2]                                                                             32             25       130
sa10_reg[3]                                                                             32             25       114
sa10_reg[4]                                                                             32             25       109
sa10_reg[5]                                                                             34             23       109
sa10_reg[6]                                                                             34             23       109
sa10_reg[7]                                                                             34             23       109
sa11_reg[0]                                                                             16             29        17
sa11_reg[1]                                                                             18             30        39
sa11_reg[2]                                                                             18             30        39
sa11_reg[3]                                                                             18             26        88
sa11_reg[4]                                                                             14             29        83
sa11_reg[5]                                                                             14             28        83
sa11_reg[6]                                                                             10             28        90
sa11_reg[7]                                                                             14             28        83
sa12_reg[1]                                                                              8             16       110
sa12_reg[2]                                                                              9             17       113
sa12_reg[3]                                                                              8             16       110
sa12_reg[4]                                                                              7             21        55
sa12_reg[5]                                                                              8             19       124
sa12_reg[6]                                                                              7             21        55
sa12_reg[7]                                                                              8             19       124
sa13_reg[1]                                                                             15             10        50
sa13_reg[2]                                                                             17              9        29
sa13_reg[3]                                                                             16              9        34
sa13_reg[4]                                                                             17             11        44
sa13_reg[5]                                                                             16              9        50
sa13_reg[6]                                                                             15              8        41
sa13_reg[7]                                                                             15             10        50
sa20_reg[0]                                                                             35             28       130
sa20_reg[1]                                                                             36             31        49
sa20_reg[2]                                                                             36             32        37
sa20_reg[3]                                                                             35             28        18
sa20_reg[4]                                                                             36             24       117
sa20_reg[5]                                                                             36             24       127
sa20_reg[6]                                                                             36             24       117
sa20_reg[7]                                                                             36             24       117
sa21_reg[0]                                                                             18             34        21
sa21_reg[1]                                                                             16             34        21
sa21_reg[2]                                                                             20             33        19
sa21_reg[3]                                                                             18             32        20
sa21_reg[4]                                                                             14             29         3
sa21_reg[5]                                                                             15             35        25
